Imbalance settlement period (CET/CEST),+ Imbalance Price [EUR/MWh] - SCA|HR,- Imbalance Price [EUR/MWh] - SCA|HR,Currency,Status,Total Imbalance [MWh] - SCA|HR,Difference,Situation,Status
12.08.2023 03:00 - 12.08.2023 04:00,56.32,56.32,EUR,Final,30,-2,Surplus,Final
12.08.2023 04:00 - 12.08.2023 05:00,56.35,56.35,EUR,Final,12,-9,Surplus,Final
12.08.2023 05:00 - 12.08.2023 06:00,49.45,49.45,EUR,Final,4,-7,Deficit,Final
12.08.2023 06:00 - 12.08.2023 07:00,117.6,117.6,EUR,Final,16,-7,Deficit,Final
12.08.2023 07:00 - 12.08.2023 08:00,9.47,9.47,EUR,Final,40,-4,Deficit,Final
12.08.2023 08:00 - 12.08.2023 09:00,10.79,10.79,EUR,Final,40,-2,Deficit,Final
12.08.2023 09:00 - 12.08.2023 10:00,10.51,10.51,EUR,Final,38,1,Deficit,Final
12.08.2023 10:00 - 12.08.2023 11:00,7.76,7.76,EUR,Final,13,2,Deficit,Final
12.08.2023 11:00 - 12.08.2023 12:00,-2,-2,EUR,Final,58,1,Deficit,Final
12.08.2023 12:00 - 12.08.2023 13:00,-2.47,-2.47,EUR,Final,103,3,Deficit,Final
12.08.2023 13:00 - 12.08.2023 14:00,0.16,0.16,EUR,Final,76,1,Deficit,Final
12.08.2023 14:00 - 12.08.2023 15:00,8.4,8.4,EUR,Final,103,0,Deficit,Final
12.08.2023 15:00 - 12.08.2023 16:00,9.69,9.69,EUR,Final,51,3,Deficit,Final
12.08.2023 16:00 - 12.08.2023 17:00,28.56,28.56,EUR,Final,25,3,Deficit,Final
12.08.2023 17:00 - 12.08.2023 18:00,94.61,94.61,EUR,Final,43,1,Deficit,Final
12.08.2023 18:00 - 12.08.2023 19:00,129.19,129.19,EUR,Final,82,-2,Deficit,Final
12.08.2023 19:00 - 12.08.2023 20:00,149.06,149.06,EUR,Final,107,-8,Deficit,Final
12.08.2023 20:00 - 12.08.2023 21:00,151.32,151.32,EUR,Final,92,0,Deficit,Final
12.08.2023 21:00 - 12.08.2023 22:00,157.19,157.19,EUR,Final,68,-20,Deficit,Final
12.08.2023 22:00 - 12.08.2023 23:00,150.18,150.18,EUR,Final,43,-5,Deficit,Final
12.08.2023 23:00 - 13.08.2023 00:00,134.64,134.64,EUR,Final,52,-2,Deficit,Final
13.08.2023 00:00 - 13.08.2023 01:00,126.14,126.14,EUR,Final,44,-1,Deficit,Final
13.08.2023 01:00 - 13.08.2023 02:00,114.73,114.73,EUR,Final,31,-1,Deficit,Final
13.08.2023 02:00 - 13.08.2023 03:00,47.28,47.28,EUR,Final,22,-5,Deficit,Final
13.08.2023 03:00 - 13.08.2023 04:00,41.8,41.8,EUR,Final,36,0,Surplus,Final
13.08.2023 04:00 - 13.08.2023 05:00,41.4,41.4,EUR,Final,40,-1,Surplus,Final
13.08.2023 05:00 - 13.08.2023 06:00,43.21,43.21,EUR,Final,29,-4,Surplus,Final
13.08.2023 06:00 - 13.08.2023 07:00,54.48,54.48,EUR,Final,87,24,Surplus,Final
13.08.2023 07:00 - 13.08.2023 08:00,69.22,69.22,EUR,Final,25,-4,Deficit,Final
13.08.2023 08:00 - 13.08.2023 09:00,4.61,4.61,EUR,Final,9,-3,Surplus,Final
13.08.2023 09:00 - 13.08.2023 10:00,-2.67,-2.67,EUR,Final,46,-2,Deficit,Final
13.08.2023 10:00 - 13.08.2023 11:00,0.82,0.82,EUR,Final,32,2,Surplus,Final
13.08.2023 11:00 - 13.08.2023 12:00,3.31,3.31,EUR,Final,12,-5,Surplus,Final
13.08.2023 12:00 - 13.08.2023 13:00,-0.81,-0.81,EUR,Final,41,1,Deficit,Final
13.08.2023 13:00 - 13.08.2023 14:00,0.08,0.08,EUR,Final,3,1,Deficit,Final
13.08.2023 14:00 - 13.08.2023 15:00,0.97,0.97,EUR,Final,28,1,Surplus,Final
13.08.2023 15:00 - 13.08.2023 16:00,9.46,9.46,EUR,Final,56,0,Deficit,Final
13.08.2023 16:00 - 13.08.2023 17:00,24.43,24.43,EUR,Final,77,3,Deficit,Final
13.08.2023 17:00 - 13.08.2023 18:00,99.59,99.59,EUR,Final,121,-37,Deficit,Final
13.08.2023 18:00 - 13.08.2023 19:00,133.51,133.51,EUR,Final,154,-7,Deficit,Final
13.08.2023 19:00 - 13.08.2023 20:00,148.67,148.67,EUR,Final,81,-5,Deficit,Final
13.08.2023 20:00 - 13.08.2023 21:00,68.98,68.98,EUR,Final,45,6,Surplus,Final
13.08.2023 21:00 - 13.08.2023 22:00,168,168,EUR,Final,13,-1,Deficit,Final
13.08.2023 22:00 - 13.08.2023 23:00,139.23,139.23,EUR,Final,61,2,Deficit,Final
13.08.2023 23:00 - 14.08.2023 00:00,137.72,137.72,EUR,Final,57,-3,Deficit,Final
14.08.2023 00:00 - 14.08.2023 01:00,133.91,133.91,EUR,Final,44,1,Deficit,Final
14.08.2023 01:00 - 14.08.2023 02:00,121.37,121.37,EUR,Final,49,-3,Deficit,Final
14.08.2023 02:00 - 14.08.2023 03:00,111.78,111.78,EUR,Final,94,-7,Deficit,Final
14.08.2023 03:00 - 14.08.2023 04:00,88.82,88.82,EUR,Final,95,-4,Deficit,Final
14.08.2023 04:00 - 14.08.2023 05:00,118.47,118.47,EUR,Final,112,-1,Deficit,Final
14.08.2023 05:00 - 14.08.2023 06:00,127.83,127.83,EUR,Final,124,-6,Deficit,Final
14.08.2023 06:00 - 14.08.2023 07:00,144.3,144.3,EUR,Final,70,-6,Deficit,Final
14.08.2023 07:00 - 14.08.2023 08:00,129.65,129.65,EUR,Final,0,1,Balanced,Final
14.08.2023 08:00 - 14.08.2023 09:00,121.94,121.94,EUR,Final,37,0,Deficit,Final
14.08.2023 09:00 - 14.08.2023 10:00,47.25,47.25,EUR,Final,25,-2,Surplus,Final
14.08.2023 10:00 - 14.08.2023 11:00,21.65,21.65,EUR,Final,101,8,Surplus,Final
14.08.2023 11:00 - 14.08.2023 12:00,15.23,15.23,EUR,Final,88,2,Surplus,Final
14.08.2023 12:00 - 14.08.2023 13:00,35.69,35.69,EUR,Final,45,3,Surplus,Final
14.08.2023 13:00 - 14.08.2023 14:00,36.73,36.73,EUR,Final,67,3,Surplus,Final
14.08.2023 14:00 - 14.08.2023 15:00,38.71,38.71,EUR,Final,66,1,Surplus,Final
14.08.2023 15:00 - 14.08.2023 16:00,103.74,103.74,EUR,Final,42,2,Deficit,Final
14.08.2023 16:00 - 14.08.2023 17:00,114.97,114.97,EUR,Final,37,5,Deficit,Final
14.08.2023 17:00 - 14.08.2023 18:00,140.01,140.01,EUR,Final,26,-4,Deficit,Final
14.08.2023 18:00 - 14.08.2023 19:00,160.33,160.33,EUR,Final,79,-26,Deficit,Final
14.08.2023 19:00 - 14.08.2023 20:00,214.02,214.02,EUR,Final,73,0,Deficit,Final
14.08.2023 20:00 - 14.08.2023 21:00,207.26,207.26,EUR,Final,64,3,Deficit,Final
14.08.2023 21:00 - 14.08.2023 22:00,182.11,182.11,EUR,Final,63,-9,Deficit,Final
14.08.2023 22:00 - 14.08.2023 23:00,155.39,155.39,EUR,Final,1,-7,Deficit,Final
14.08.2023 23:00 - 15.08.2023 00:00,60.64,60.64,EUR,Final,26,5,Surplus,Final
15.08.2023 00:00 - 15.08.2023 01:00,133.34,133.34,EUR,Final,82,2,Deficit,Final
15.08.2023 01:00 - 15.08.2023 02:00,129.71,129.71,EUR,Final,37,11,Deficit,Final
15.08.2023 02:00 - 15.08.2023 03:00,125.79,125.79,EUR,Final,38,6,Deficit,Final
15.08.2023 03:00 - 15.08.2023 04:00,125.94,125.94,EUR,Final,12,6,Deficit,Final
15.08.2023 04:00 - 15.08.2023 05:00,52.6,52.6,EUR,Final,12,2,Surplus,Final
15.08.2023 05:00 - 15.08.2023 06:00,121.87,121.87,EUR,Final,12,5,Deficit,Final
15.08.2023 06:00 - 15.08.2023 07:00,50.91,50.91,EUR,Final,12,-13,Surplus,Final
15.08.2023 07:00 - 15.08.2023 08:00,48.32,48.32,EUR,Final,69,0,Surplus,Final
15.08.2023 08:00 - 15.08.2023 09:00,43.34,43.34,EUR,Final,29,-3,Surplus,Final
15.08.2023 09:00 - 15.08.2023 10:00,41.56,41.56,EUR,Final,58,2,Surplus,Final
15.08.2023 10:00 - 15.08.2023 11:00,29.03,29.03,EUR,Final,5,11,Surplus,Final
15.08.2023 11:00 - 15.08.2023 12:00,12.99,12.99,EUR,Final,30,3,Deficit,Final
15.08.2023 12:00 - 15.08.2023 13:00,13.06,13.06,EUR,Final,19,-1,Deficit,Final
15.08.2023 13:00 - 15.08.2023 14:00,25.77,25.77,EUR,Final,55,-2,Deficit,Final
15.08.2023 14:00 - 15.08.2023 15:00,32.96,32.96,EUR,Final,68,2,Deficit,Final
15.08.2023 15:00 - 15.08.2023 16:00,64.19,64.19,EUR,Final,26,-3,Deficit,Final
15.08.2023 16:00 - 15.08.2023 17:00,42.16,42.16,EUR,Final,5,9,Surplus,Final
15.08.2023 17:00 - 15.08.2023 18:00,130.27,130.27,EUR,Final,44,-7,Deficit,Final
15.08.2023 18:00 - 15.08.2023 19:00,146.08,146.08,EUR,Final,72,-18,Deficit,Final
15.08.2023 19:00 - 15.08.2023 20:00,173.01,173.01,EUR,Final,28,1,Deficit,Final
15.08.2023 20:00 - 15.08.2023 21:00,195.5,195.5,EUR,Final,28,2,Deficit,Final
15.08.2023 21:00 - 15.08.2023 22:00,186.26,186.26,EUR,Final,23,1,Deficit,Final
15.08.2023 22:00 - 15.08.2023 23:00,159.35,159.35,EUR,Final,71,-4,Deficit,Final
15.08.2023 23:00 - 16.08.2023 00:00,151.05,151.05,EUR,Final,99,-22,Deficit,Final
16.08.2023 00:00 - 16.08.2023 01:00,63.45,63.45,EUR,Final,9,14,Surplus,Final
16.08.2023 01:00 - 16.08.2023 02:00,58.47,58.47,EUR,Final,33,7,Surplus,Final
16.08.2023 02:00 - 16.08.2023 03:00,55.7,55.7,EUR,Final,26,-1,Surplus,Final
16.08.2023 03:00 - 16.08.2023 04:00,55.62,55.62,EUR,Final,14,0,Surplus,Final
16.08.2023 04:00 - 16.08.2023 05:00,53.93,53.93,EUR,Final,37,7,Surplus,Final
16.08.2023 05:00 - 16.08.2023 06:00,52.15,52.15,EUR,Final,52,1,Surplus,Final
16.08.2023 06:00 - 16.08.2023 07:00,60.88,60.88,EUR,Final,6,-6,Surplus,Final
16.08.2023 07:00 - 16.08.2023 08:00,73.22,73.22,EUR,Final,20,1,Surplus,Final
16.08.2023 08:00 - 16.08.2023 09:00,169.76,169.76,EUR,Final,31,0,Deficit,Final
16.08.2023 09:00 - 16.08.2023 10:00,147.5,147.5,EUR,Final,33,4,Deficit,Final
16.08.2023 10:00 - 16.08.2023 11:00,57.52,57.52,EUR,Final,37,-2,Surplus,Final
16.08.2023 11:00 - 16.08.2023 12:00,53.74,53.74,EUR,Final,78,2,Surplus,Final
16.08.2023 12:00 - 16.08.2023 13:00,52.84,52.84,EUR,Final,139,3,Surplus,Final
16.08.2023 13:00 - 16.08.2023 14:00,50.98,50.98,EUR,Final,25,2,Surplus,Final
16.08.2023 14:00 - 16.08.2023 15:00,125.16,125.16,EUR,Final,93,-4,Deficit,Final
16.08.2023 15:00 - 16.08.2023 16:00,130.4,130.4,EUR,Final,74,-4,Deficit,Final
16.08.2023 16:00 - 16.08.2023 17:00,136.14,136.14,EUR,Final,75,0,Deficit,Final
16.08.2023 17:00 - 16.08.2023 18:00,153.93,153.93,EUR,Final,99,-9,Deficit,Final
16.08.2023 18:00 - 16.08.2023 19:00,182.95,182.95,EUR,Final,62,-3,Deficit,Final
16.08.2023 19:00 - 16.08.2023 20:00,93.19,93.19,EUR,Final,2,0,Surplus,Final
16.08.2023 20:00 - 16.08.2023 21:00,220.44,220.44,EUR,Final,9,3,Deficit,Final
16.08.2023 21:00 - 16.08.2023 22:00,190.54,190.54,EUR,Final,1,1,Deficit,Final
16.08.2023 22:00 - 16.08.2023 23:00,167.86,167.86,EUR,Final,16,-1,Deficit,Final
16.08.2023 23:00 - 17.08.2023 00:00,139.99,139.99,EUR,Final,42,-16,Deficit,Final
17.08.2023 00:00 - 17.08.2023 01:00,62.93,62.93,EUR,Final,57,11,Surplus,Final
17.08.2023 01:00 - 17.08.2023 02:00,59.03,59.03,EUR,Final,56,7,Surplus,Final
17.08.2023 02:00 - 17.08.2023 03:00,137.13,137.13,EUR,Final,6,-4,Deficit,Final
17.08.2023 03:00 - 17.08.2023 04:00,57,57,EUR,Final,29,-3,Surplus,Final
17.08.2023 04:00 - 17.08.2023 05:00,129.96,129.96,EUR,Final,2,-3,Deficit,Final
17.08.2023 05:00 - 17.08.2023 06:00,137.73,137.73,EUR,Final,45,-2,Deficit,Final
17.08.2023 06:00 - 17.08.2023 07:00,155.85,155.85,EUR,Final,85,-11,Deficit,Final
17.08.2023 07:00 - 17.08.2023 08:00,72.54,72.54,EUR,Final,0,2,Balanced,Final
17.08.2023 08:00 - 17.08.2023 09:00,172.21,172.21,EUR,Final,27,-1,Deficit,Final
17.08.2023 09:00 - 17.08.2023 10:00,149.66,149.66,EUR,Final,5,-4,Deficit,Final
17.08.2023 10:00 - 17.08.2023 11:00,138.92,138.92,EUR,Final,11,0,Deficit,Final
17.08.2023 11:00 - 17.08.2023 12:00,56.17,56.17,EUR,Final,5,2,Surplus,Final
17.08.2023 12:00 - 17.08.2023 13:00,128.27,128.27,EUR,Final,16,4,Deficit,Final
17.08.2023 13:00 - 17.08.2023 14:00,125.97,125.97,EUR,Final,73,1,Deficit,Final
17.08.2023 14:00 - 17.08.2023 15:00,125.97,125.97,EUR,Final,44,3,Deficit,Final
17.08.2023 15:00 - 17.08.2023 16:00,131.74,131.74,EUR,Final,15,2,Deficit,Final
17.08.2023 16:00 - 17.08.2023 17:00,139.38,139.38,EUR,Final,69,-4,Deficit,Final
17.08.2023 17:00 - 17.08.2023 18:00,154.29,154.29,EUR,Final,115,-23,Deficit,Final
17.08.2023 18:00 - 17.08.2023 19:00,169.57,169.57,EUR,Final,130,-20,Deficit,Final
17.08.2023 19:00 - 17.08.2023 20:00,198.36,198.36,EUR,Final,116,2,Deficit,Final
17.08.2023 20:00 - 17.08.2023 21:00,181.89,181.89,EUR,Final,90,2,Deficit,Final
17.08.2023 21:00 - 17.08.2023 22:00,167.5,167.5,EUR,Final,32,-4,Deficit,Final
17.08.2023 22:00 - 17.08.2023 23:00,163.28,163.28,EUR,Final,10,0,Deficit,Final
17.08.2023 23:00 - 18.08.2023 00:00,149.93,149.93,EUR,Final,4,6,Deficit,Final
18.08.2023 00:00 - 18.08.2023 01:00,62.99,62.99,EUR,Final,44,5,Surplus,Final
18.08.2023 01:00 - 18.08.2023 02:00,140.6,140.6,EUR,Final,4,7,Deficit,Final
18.08.2023 02:00 - 18.08.2023 03:00,140.49,140.49,EUR,Final,4,-1,Deficit,Final
18.08.2023 03:00 - 18.08.2023 04:00,135.04,135.04,EUR,Final,12,-2,Deficit,Final
18.08.2023 04:00 - 18.08.2023 05:00,137.97,137.97,EUR,Final,38,-4,Deficit,Final
18.08.2023 05:00 - 18.08.2023 06:00,141.88,141.88,EUR,Final,1,4,Deficit,Final
18.08.2023 06:00 - 18.08.2023 07:00,68.28,68.28,EUR,Final,47,-4,Surplus,Final
18.08.2023 07:00 - 18.08.2023 08:00,70.19,70.19,EUR,Final,43,0,Surplus,Final
18.08.2023 08:00 - 18.08.2023 09:00,68.53,68.53,EUR,Final,36,1,Surplus,Final
18.08.2023 09:00 - 18.08.2023 10:00,63.23,63.23,EUR,Final,2,-1,Surplus,Final
18.08.2023 10:00 - 18.08.2023 11:00,57.51,57.51,EUR,Final,3,0,Surplus,Final
18.08.2023 11:00 - 18.08.2023 12:00,53.43,53.43,EUR,Final,33,1,Surplus,Final
18.08.2023 12:00 - 18.08.2023 13:00,51.77,51.77,EUR,Final,15,3,Surplus,Final
18.08.2023 13:00 - 18.08.2023 14:00,49.71,49.71,EUR,Final,33,2,Surplus,Final
18.08.2023 14:00 - 18.08.2023 15:00,50.5,50.5,EUR,Final,23,0,Surplus,Final
18.08.2023 15:00 - 18.08.2023 16:00,53.49,53.49,EUR,Final,10,2,Surplus,Final
18.08.2023 16:00 - 18.08.2023 17:00,137.4,137.4,EUR,Final,17,1,Deficit,Final
18.08.2023 17:00 - 18.08.2023 18:00,66.06,66.06,EUR,Final,15,-1,Surplus,Final
18.08.2023 18:00 - 18.08.2023 19:00,76.87,76.87,EUR,Final,62,1,Surplus,Final
18.08.2023 19:00 - 18.08.2023 20:00,92.34,92.34,EUR,Final,23,1,Surplus,Final
18.08.2023 20:00 - 18.08.2023 21:00,91.55,91.55,EUR,Final,20,1,Surplus,Final
18.08.2023 21:00 - 18.08.2023 22:00,75.67,75.67,EUR,Final,80,13,Surplus,Final
18.08.2023 22:00 - 18.08.2023 23:00,64.85,64.85,EUR,Final,59,4,Surplus,Final
18.08.2023 23:00 - 19.08.2023 00:00,139.36,139.36,EUR,Final,3,-5,Deficit,Final
19.08.2023 00:00 - 19.08.2023 01:00,143.37,143.37,EUR,Final,61,-15,Deficit,Final
19.08.2023 01:00 - 19.08.2023 02:00,130.84,130.84,EUR,Final,106,-27,Deficit,Final
19.08.2023 02:00 - 19.08.2023 03:00,120.29,120.29,EUR,Final,90,-4,Deficit,Final
19.08.2023 03:00 - 19.08.2023 04:00,112.79,112.79,EUR,Final,43,3,Deficit,Final
19.08.2023 04:00 - 19.08.2023 05:00,112.01,112.01,EUR,Final,30,0,Deficit,Final
19.08.2023 05:00 - 19.08.2023 06:00,115.15,115.15,EUR,Final,27,-3,Deficit,Final
19.08.2023 06:00 - 19.08.2023 07:00,126.36,126.36,EUR,Final,89,-5,Deficit,Final
19.08.2023 07:00 - 19.08.2023 08:00,118.18,118.18,EUR,Final,96,-2,Deficit,Final
19.08.2023 08:00 - 19.08.2023 09:00,107.97,107.97,EUR,Final,67,-1,Deficit,Final
19.08.2023 09:00 - 19.08.2023 10:00,103.35,103.35,EUR,Final,9,0,Deficit,Final
19.08.2023 10:00 - 19.08.2023 11:00,41.64,41.64,EUR,Final,43,3,Surplus,Final
19.08.2023 11:00 - 19.08.2023 12:00,25.1,25.1,EUR,Final,56,-1,Surplus,Final
19.08.2023 12:00 - 19.08.2023 13:00,15.27,15.27,EUR,Final,48,5,Surplus,Final
19.08.2023 13:00 - 19.08.2023 14:00,20.8,20.8,EUR,Final,14,2,Deficit,Final
19.08.2023 14:00 - 19.08.2023 15:00,7.55,7.55,EUR,Final,37,6,Surplus,Final
19.08.2023 15:00 - 19.08.2023 16:00,35.01,35.01,EUR,Final,12,1,Deficit,Final
19.08.2023 16:00 - 19.08.2023 17:00,44.45,44.45,EUR,Final,54,5,Surplus,Final
19.08.2023 17:00 - 19.08.2023 18:00,59.82,59.82,EUR,Final,99,-2,Surplus,Final
19.08.2023 18:00 - 19.08.2023 19:00,68.43,68.43,EUR,Final,9,-5,Surplus,Final
19.08.2023 19:00 - 19.08.2023 20:00,78.26,78.26,EUR,Final,2,-4,Surplus,Final
19.08.2023 20:00 - 19.08.2023 21:00,83.29,83.29,EUR,Final,36,4,Surplus,Final
19.08.2023 21:00 - 19.08.2023 22:00,79.52,79.52,EUR,Final,6,-4,Surplus,Final
19.08.2023 22:00 - 19.08.2023 23:00,74.23,74.23,EUR,Final,0,-2,Balanced,Final
19.08.2023 23:00 - 20.08.2023 00:00,157.56,157.56,EUR,Final,38,-7,Deficit,Final
20.08.2023 00:00 - 20.08.2023 01:00,151.75,151.75,EUR,Final,118,-29,Deficit,Final
20.08.2023 01:00 - 20.08.2023 02:00,145.73,145.73,EUR,Final,58,-3,Deficit,Final
20.08.2023 02:00 - 20.08.2023 03:00,136.95,136.95,EUR,Final,60,-3,Deficit,Final
20.08.2023 03:00 - 20.08.2023 04:00,136.11,136.11,EUR,Final,27,1,Deficit,Final
20.08.2023 04:00 - 20.08.2023 05:00,141.2,141.2,EUR,Final,0,-1,Balanced,Final
20.08.2023 05:00 - 20.08.2023 06:00,60.3,60.3,EUR,Final,42,-2,Surplus,Final
20.08.2023 06:00 - 20.08.2023 07:00,59.99,59.99,EUR,Final,48,-4,Surplus,Final
20.08.2023 07:00 - 20.08.2023 08:00,59.81,59.81,EUR,Final,39,1,Surplus,Final
20.08.2023 08:00 - 20.08.2023 09:00,59.39,59.39,EUR,Final,81,-1,Surplus,Final
20.08.2023 09:00 - 20.08.2023 10:00,51.97,51.97,EUR,Final,109,23,Surplus,Final
20.08.2023 10:00 - 20.08.2023 11:00,44.93,44.93,EUR,Final,126,17,Surplus,Final
20.08.2023 11:00 - 20.08.2023 12:00,30.78,30.78,EUR,Final,50,3,Surplus,Final
20.08.2023 12:00 - 20.08.2023 13:00,15.11,15.11,EUR,Final,55,-1,Surplus,Final
20.08.2023 13:00 - 20.08.2023 14:00,8.42,8.42,EUR,Final,39,1,Surplus,Final
20.08.2023 14:00 - 20.08.2023 15:00,8.3,8.3,EUR,Final,6,0,Surplus,Final
20.08.2023 15:00 - 20.08.2023 16:00,47.33,47.33,EUR,Final,31,-2,Deficit,Final
20.08.2023 16:00 - 20.08.2023 17:00,110.57,110.57,EUR,Final,28,7,Deficit,Final
20.08.2023 17:00 - 20.08.2023 18:00,57.06,57.06,EUR,Final,8,1,Surplus,Final
20.08.2023 18:00 - 20.08.2023 19:00,156.8,156.8,EUR,Final,14,-4,Deficit,Final
20.08.2023 19:00 - 20.08.2023 20:00,77.28,77.28,EUR,Final,38,-1,Surplus,Final
20.08.2023 20:00 - 20.08.2023 21:00,83.98,83.98,EUR,Final,28,1,Surplus,Final
20.08.2023 21:00 - 20.08.2023 22:00,195.36,195.36,EUR,Final,34,-1,Deficit,Final
20.08.2023 22:00 - 20.08.2023 23:00,177.39,177.39,EUR,Final,63,2,Deficit,Final
20.08.2023 23:00 - 21.08.2023 00:00,156.73,156.73,EUR,Final,109,-33,Deficit,Final
21.08.2023 00:00 - 21.08.2023 01:00,146.82,146.82,EUR,Final,107,2,Deficit,Final
21.08.2023 01:00 - 21.08.2023 02:00,132.65,132.65,EUR,Final,98,4,Deficit,Final
21.08.2023 02:00 - 21.08.2023 03:00,130.04,130.04,EUR,Final,174,-3,Deficit,Final
21.08.2023 03:00 - 21.08.2023 04:00,124.5,124.5,EUR,Final,197,-28,Deficit,Final
21.08.2023 04:00 - 21.08.2023 05:00,120.23,120.23,EUR,Final,188,-22,Deficit,Final
21.08.2023 05:00 - 21.08.2023 06:00,137.5,137.5,EUR,Final,164,3,Deficit,Final
21.08.2023 06:00 - 21.08.2023 07:00,146.51,146.51,EUR,Final,205,-33,Deficit,Final
21.08.2023 07:00 - 21.08.2023 08:00,168.45,168.45,EUR,Final,135,-11,Deficit,Final
21.08.2023 08:00 - 21.08.2023 09:00,172.81,172.81,EUR,Final,112,3,Deficit,Final
21.08.2023 09:00 - 21.08.2023 10:00,145.02,145.02,EUR,Final,92,-4,Deficit,Final
21.08.2023 10:00 - 21.08.2023 11:00,134.58,134.58,EUR,Final,130,5,Deficit,Final
21.08.2023 11:00 - 21.08.2023 12:00,127.32,127.32,EUR,Final,149,-2,Deficit,Final
21.08.2023 12:00 - 21.08.2023 13:00,123.26,123.26,EUR,Final,110,3,Deficit,Final
21.08.2023 13:00 - 21.08.2023 14:00,123.89,123.89,EUR,Final,105,2,Deficit,Final
21.08.2023 14:00 - 21.08.2023 15:00,125.26,125.26,EUR,Final,81,5,Deficit,Final
21.08.2023 15:00 - 21.08.2023 16:00,133.88,133.88,EUR,Final,115,3,Deficit,Final
21.08.2023 16:00 - 21.08.2023 17:00,142.44,142.44,EUR,Final,103,-1,Deficit,Final
21.08.2023 17:00 - 21.08.2023 18:00,160.28,160.28,EUR,Final,159,-1,Deficit,Final
21.08.2023 18:00 - 21.08.2023 19:00,192.47,192.47,EUR,Final,187,-16,Deficit,Final
21.08.2023 19:00 - 21.08.2023 20:00,248.71,248.71,EUR,Final,74,7,Deficit,Final
21.08.2023 20:00 - 21.08.2023 21:00,270.12,270.12,EUR,Final,94,1,Deficit,Final
21.08.2023 21:00 - 21.08.2023 22:00,219.11,219.11,EUR,Final,49,2,Deficit,Final
21.08.2023 22:00 - 21.08.2023 23:00,81.61,81.61,EUR,Final,13,0,Surplus,Final
21.08.2023 23:00 - 22.08.2023 00:00,69,69,EUR,Final,3,6,Surplus,Final
22.08.2023 00:00 - 22.08.2023 01:00,68.21,68.21,EUR,Final,1,0,Surplus,Final
22.08.2023 01:00 - 22.08.2023 02:00,146.66,146.66,EUR,Final,38,-6,Deficit,Final
22.08.2023 02:00 - 22.08.2023 03:00,144.51,144.51,EUR,Final,36,-4,Deficit,Final
22.08.2023 03:00 - 22.08.2023 04:00,144.38,144.38,EUR,Final,73,-3,Deficit,Final
22.08.2023 04:00 - 22.08.2023 05:00,145.89,145.89,EUR,Final,13,5,Deficit,Final
22.08.2023 05:00 - 22.08.2023 06:00,156.55,156.55,EUR,Final,28,-2,Deficit,Final
22.08.2023 06:00 - 22.08.2023 07:00,186.63,186.63,EUR,Final,130,-11,Deficit,Final
22.08.2023 07:00 - 22.08.2023 08:00,204.95,204.95,EUR,Final,154,-29,Deficit,Final
22.08.2023 08:00 - 22.08.2023 09:00,191.56,191.56,EUR,Final,39,2,Deficit,Final
22.08.2023 09:00 - 22.08.2023 10:00,69.55,69.55,EUR,Final,14,1,Surplus,Final
22.08.2023 10:00 - 22.08.2023 11:00,143.36,143.36,EUR,Final,30,-4,Deficit,Final
22.08.2023 11:00 - 22.08.2023 12:00,139.54,139.54,EUR,Final,78,-3,Deficit,Final
22.08.2023 12:00 - 22.08.2023 13:00,133,133,EUR,Final,53,5,Deficit,Final
22.08.2023 13:00 - 22.08.2023 14:00,130.93,130.93,EUR,Final,97,-2,Deficit,Final
22.08.2023 14:00 - 22.08.2023 15:00,134.68,134.68,EUR,Final,96,0,Deficit,Final
22.08.2023 15:00 - 22.08.2023 16:00,153.96,153.96,EUR,Final,89,-10,Deficit,Final
22.08.2023 16:00 - 22.08.2023 17:00,181.43,181.43,EUR,Final,155,-24,Deficit,Final
22.08.2023 17:00 - 22.08.2023 18:00,176.56,176.56,EUR,Final,150,3,Deficit,Final
22.08.2023 18:00 - 22.08.2023 19:00,249.25,249.25,EUR,Final,142,-6,Deficit,Final
22.08.2023 19:00 - 22.08.2023 20:00,291.2,291.2,EUR,Final,124,2,Deficit,Final
22.08.2023 20:00 - 22.08.2023 21:00,282.39,282.39,EUR,Final,154,0,Deficit,Final
22.08.2023 21:00 - 22.08.2023 22:00,232.81,232.81,EUR,Final,46,-1,Deficit,Final
22.08.2023 22:00 - 22.08.2023 23:00,87.48,87.48,EUR,Final,50,12,Surplus,Final
22.08.2023 23:00 - 23.08.2023 00:00,76.56,76.56,EUR,Final,57,6,Surplus,Final
23.08.2023 00:00 - 23.08.2023 01:00,74.33,74.33,EUR,Final,2,-10,Surplus,Final
23.08.2023 01:00 - 23.08.2023 02:00,157.74,157.74,EUR,Final,32,1,Deficit,Final
23.08.2023 02:00 - 23.08.2023 03:00,153.86,153.86,EUR,Final,56,-2,Deficit,Final
23.08.2023 03:00 - 23.08.2023 04:00,148.75,148.75,EUR,Final,22,-1,Deficit,Final
23.08.2023 04:00 - 23.08.2023 05:00,65.28,65.28,EUR,Final,26,0,Surplus,Final
23.08.2023 05:00 - 23.08.2023 06:00,160.02,160.02,EUR,Final,47,0,Deficit,Final
23.08.2023 06:00 - 23.08.2023 07:00,196.95,196.95,EUR,Final,42,-19,Deficit,Final
23.08.2023 07:00 - 23.08.2023 08:00,225.9,225.9,EUR,Final,65,-2,Deficit,Final
23.08.2023 08:00 - 23.08.2023 09:00,220.37,220.37,EUR,Final,104,-3,Deficit,Final
